Player Name,Team,Conference,Position,Height,Year,GP,MIN,MPG,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,PTS,PPG,ORB,DRB,TOT RB,RPG,PF,AST,TO,STL,BLK,APG,SPG,DRBPG,ORBPG,BPG,TOPG,eFG,three_share,AST_TOV,FTR,TS_pct,usg,pts_per_40,reb_per_40,ast_per_40,stl_per_40,blk_per_40,tov_per_40,PC1,PC2,PC3,PC4
Chase Bartlett,Minnesota State Mankato,Northern Sun Intercollegiate,G,76,Sr,23,248,10.8,0.7,2.6,0.271,0.4,2.1,0.208,0.4,0.4,1.0,53,2.3,12,25,37,1.6,1.3,7,14,9,2,0.3043478260869565,0.391304347826087,1.0869565217391304,0.5217391304347826,0.0869565217391304,0.6086956521739131,0.3461538461538461,0.8076923076923077,0.5,0.1538461538461538,0.414265129682997,0.0676451612903225,8.548387096774194,5.967741935483871,1.129032258064516,1.4516129032258065,0.3225806451612903,2.258064516129032,-1.4983314597472963,-1.866079104044062,-1.354271245479753,-0.9256417144584203
Deuce Benjamin,Minot State,Northern Sun Intercollegiate,G,72,Jr.,29,908,31.3,5.9,14.4,0.406,2.0,6.4,0.312,4.4,5.5,0.805,525,18.1,17,70,87,3.0,3.1,46,48,32,5,1.5862068965517242,1.103448275862069,2.413793103448276,0.5862068965517241,0.1724137931034483,1.6551724137931034,0.4791666666666667,0.4444444444444445,0.9583333333333334,0.3819444444444444,0.538049940546968,0.0713876651982378,23.12775330396476,3.8325991189427313,2.0264317180616738,1.4096916299559472,0.2202643171806167,2.1145374449339207,-0.589032598204953,0.25089647189824366,1.048983032525209,-1.8563558150734343
Darik Dissette,Minot State,Northern Sun Intercollegiate,F,76,Jr.,29,1001,34.5,5.7,11.2,0.508,0.1,0.7,0.158,2.9,4.2,0.694,418,14.4,49,104,153,5.3,2.4,37,44,32,5,1.2758620689655171,1.103448275862069,3.586206896551724,1.6896551724137931,0.1724137931034483,1.5172413793103448,0.5133928571428572,0.0625,0.8409090909090909,0.375,0.5518087063151441,0.0569910089910089,16.703296703296704,6.113886113886114,1.4785214785214784,1.2787212787212787,0.1998001998001998,1.7582417582417584,1.451747685421053,-0.011420992808361638,0.9000108408036614,-0.3033660580326014
Isaiah Alexander,Minot State,Northern Sun Intercollegiate,F,79,Jr.,28,848,30.3,3.7,8.4,0.441,0.3,1.0,0.259,4.2,5.4,0.776,333,11.9,45,109,154,5.5,2.7,46,44,18,2,1.6428571428571428,0.6428571428571429,3.892857142857143,1.6071428571428572,0.0714285714285714,1.5714285714285714,0.4583333333333333,0.119047619047619,1.0454545454545454,0.6428571428571429,0.5521529324424648,0.0645943396226415,15.70754716981132,7.264150943396226,2.169811320754717,0.8490566037735848,0.0943396226415094,2.0754716981132075,1.9313391982858843,0.35652598436036337,0.8923975837418806,0.21257650178048568
Carson Yale,Minot State,Northern Sun Intercollegiate,G/F,81,Fr,29,667,23.0,3.5,6.3,0.552,0.3,0.8,0.333,1.6,2.3,0.676,255,8.8,38,113,151,5.2,2.1,21,23,9,14,0.7241379310344828,0.3103448275862069,3.896551724137931,1.3103448275862069,0.4827586206896552,0.7931034482758621,0.5793650793650794,0.126984126984127,0.9130434782608696,0.365079365079365,0.601750547045952,0.0454452773613193,15.292353823088456,9.055472263868069,1.2593703148425786,0.5397301349325337,0.8395802098950524,1.3793103448275863,2.1662736863508854,-1.2376936433459476,0.7171421986080018,0.30308608630363315
Trey Brandt,Minot State,Northern Sun Intercollegiate,G,73,Jr.,29,658,22.7,2.6,6.0,0.425,1.1,3.2,0.351,0.4,0.4,0.923,194,6.7,12,55,67,2.3,1.1,18,14,14,2,0.6206896551724138,0.4827586206896552,1.896551724137931,0.4137931034482758,0.0689655172413793,0.4827586206896552,0.525,0.5333333333333333,1.2857142857142858,0.0666666666666666,0.5424222797927462,0.0306626139817629,11.793313069908816,4.072948328267477,1.094224924012158,0.851063829787234,0.121580547112462,0.851063829787234,-1.6985048898075827,-2.286664994721938,0.5406129396735108,-0.15518056404533306
"Kiku Parker, Jr.",Minot State,Northern Sun Intercollegiate,G,71,So,29,777,26.8,2.4,5.3,0.458,0.3,1.0,0.345,1.1,1.6,0.689,180,6.2,12,70,82,2.8,2.1,58,28,28,0,2.0,0.9655172413793104,2.413793103448276,0.4137931034482758,0.0,0.9655172413793104,0.4811320754716981,0.1886792452830188,2.0714285714285716,0.3018867924528302,0.5163224516988675,0.0437631917631917,9.266409266409267,4.2213642213642215,2.985842985842986,1.4414414414414414,0.0,1.4414414414414414,-1.8400612069856561,0.17348675318366932,0.5490502490018204,1.3099499249232316
Lovasoa Andriatsarafara,Minot State,Northern Sun Intercollegiate,C,83,Jr.,29,441,15.2,1.8,3.3,0.547,0.0,0.1,0.0,0.8,1.3,0.632,128,4.4,52,70,122,4.2,2.2,5,14,5,14,0.1724137931034483,0.1724137931034483,2.413793103448276,1.793103448275862,0.4827586206896552,0.4827586206896552,0.5454545454545455,0.0303030303030303,0.3571428571428571,0.393939393939394,0.5681818181818182,0.0405260770975056,11.609977324263038,11.065759637188208,0.4535147392290249,0.4535147392290249,1.2698412698412698,1.2698412698412698,3.0882042614774323,-2.021373236738129,-0.684432705768822,0.49333009645217873
Josh Book,Northern State,Northern Sun Intercollegiate,G,76,Jr.,29,983,33.9,4.8,11.8,0.404,1.4,5.1,0.279,3.4,3.8,0.917,418,14.4,20,125,145,5.1,2.7,104,53,9,2,3.586206896551724,0.3103448275862069,4.310344827586207,0.6896551724137931,0.0689655172413793,1.827586206896552,0.4661016949152542,0.4322033898305084,1.962264150943396,0.3220338983050847,0.5344418052256532,0.0676215666327568,17.00915564598169,5.90030518819939,4.2319430315361135,0.3662258392675483,0.0813835198372329,2.1566632756866735,-0.6638737387171363,0.32457866949872727,1.9358439021015714,0.539130122232919
James Glenn,Northern State,Northern Sun Intercollegiate,G,75,Sr,25,653,26.1,4.0,9.1,0.434,2.5,6.8,0.368,1.1,1.2,0.931,288,11.5,15,55,70,2.8,2.2,51,21,32,5,2.04,1.28,2.2,0.6,0.2,0.84,0.576923076923077,0.7472527472527473,2.4285714285714284,0.1318681318681318,0.5972164520149563,0.0469035222052067,17.641653905053598,4.287901990811639,3.124042879019908,1.9601837672281777,0.3062787136294027,1.2863705972434916,-2.419026444735403,-0.22420251897648252,1.8267529898982433,0.3428524835398829
